  0%|                                                                                                                                          | 0/1000 [00:00<?, ?it/s]`loss_type=None` was set in the config but it is unrecognised.Using the default loss: `ForCausalLMLoss`.
                                                                                                                                                                        
{'loss': 5.9457, 'grad_norm': 1115.7037353515625, 'learning_rate': 2.0000000000000002e-07, 'epoch': 0.03}
{'loss': 5.6986, 'grad_norm': 884.7741088867188, 'learning_rate': 4.0000000000000003e-07, 'epoch': 0.06}
{'loss': 5.4348, 'grad_norm': 923.7638549804688, 'learning_rate': 6.000000000000001e-07, 'epoch': 0.09}
{'loss': 5.0946, 'grad_norm': 998.3543701171875, 'learning_rate': 8.000000000000001e-07, 'epoch': 0.12}
{'loss': 4.7291, 'grad_norm': 812.853515625, 'learning_rate': 1.0000000000000002e-06, 'epoch': 0.16}
{'loss': 4.5456, 'grad_norm': 575.735595703125, 'learning_rate': 1.2000000000000002e-06, 'epoch': 0.19}
{'loss': 4.2291, 'grad_norm': 548.8151245117188, 'learning_rate': 1.4000000000000001e-06, 'epoch': 0.22}
{'loss': 4.0177, 'grad_norm': 557.6166381835938, 'learning_rate': 1.6000000000000001e-06, 'epoch': 0.25}
{'loss': 3.8944, 'grad_norm': 507.9713439941406, 'learning_rate': 1.8000000000000001e-06, 'epoch': 0.28}
{'loss': 3.7501, 'grad_norm': 445.6676940917969, 'learning_rate': 2.0000000000000003e-06, 'epoch': 0.31}
{'loss': 3.6238, 'grad_norm': 478.39605712890625, 'learning_rate': 2.2e-06, 'epoch': 0.34}
{'loss': 3.4939, 'grad_norm': 285.3503112792969, 'learning_rate': 2.4000000000000003e-06, 'epoch': 0.37}
{'loss': 3.3089, 'grad_norm': 310.3012390136719, 'learning_rate': 2.6e-06, 'epoch': 0.41}
{'loss': 3.2445, 'grad_norm': 223.17535400390625, 'learning_rate': 2.8000000000000003e-06, 'epoch': 0.44}
{'loss': 3.1436, 'grad_norm': 216.16012573242188, 'learning_rate': 3e-06, 'epoch': 0.47}
{'loss': 3.0373, 'grad_norm': 246.06695556640625, 'learning_rate': 3.2000000000000003e-06, 'epoch': 0.5}
{'loss': 2.9407, 'grad_norm': 145.25640869140625, 'learning_rate': 3.4000000000000005e-06, 'epoch': 0.53}
{'loss': 2.8293, 'grad_norm': 109.6749496459961, 'learning_rate': 3.6000000000000003e-06, 'epoch': 0.56}
{'loss': 2.7625, 'grad_norm': 149.24452209472656, 'learning_rate': 3.8000000000000005e-06, 'epoch': 0.59}
{'loss': 2.565, 'grad_norm': 87.67236328125, 'learning_rate': 4.000000000000001e-06, 'epoch': 0.62}
{'loss': 2.5532, 'grad_norm': 119.96561431884766, 'learning_rate': 4.2000000000000004e-06, 'epoch': 0.66}
{'loss': 2.4648, 'grad_norm': 83.97175598144531, 'learning_rate': 4.4e-06, 'epoch': 0.69}
{'loss': 2.3772, 'grad_norm': 70.85205841064453, 'learning_rate': 4.600000000000001e-06, 'epoch': 0.72}
{'loss': 2.2828, 'grad_norm': 34.33795928955078, 'learning_rate': 4.800000000000001e-06, 'epoch': 0.75}
{'loss': 2.1675, 'grad_norm': 21.48078727722168, 'learning_rate': 5e-06, 'epoch': 0.78}
{'loss': 2.1144, 'grad_norm': 16.34027671813965, 'learning_rate': 5.2e-06, 'epoch': 0.81}
{'loss': 2.0535, 'grad_norm': 28.727012634277344, 'learning_rate': 5.400000000000001e-06, 'epoch': 0.84}
{'loss': 1.9022, 'grad_norm': 12.286417961120605, 'learning_rate': 5.600000000000001e-06, 'epoch': 0.87}
{'loss': 1.8811, 'grad_norm': 14.1412992477417, 'learning_rate': 5.8e-06, 'epoch': 0.91}
{'loss': 1.8106, 'grad_norm': 11.21576976776123, 'learning_rate': 6e-06, 'epoch': 0.94}
{'loss': 1.7588, 'grad_norm': 10.019060134887695, 'learning_rate': 6.200000000000001e-06, 'epoch': 0.97}
{'loss': 1.6671, 'grad_norm': 7.746120929718018, 'learning_rate': 6.4000000000000006e-06, 'epoch': 1.0}
{'loss': 1.6435, 'grad_norm': 9.058701515197754, 'learning_rate': 6.600000000000001e-06, 'epoch': 1.03}
{'loss': 1.5966, 'grad_norm': 6.663088798522949, 'learning_rate': 6.800000000000001e-06, 'epoch': 1.06}
{'loss': 1.5258, 'grad_norm': 6.296304225921631, 'learning_rate': 7e-06, 'epoch': 1.09}
{'loss': 1.4964, 'grad_norm': 7.545029640197754, 'learning_rate': 7.2000000000000005e-06, 'epoch': 1.12}
{'loss': 1.4913, 'grad_norm': 6.364845275878906, 'learning_rate': 7.4e-06, 'epoch': 1.15}
{'loss': 1.4664, 'grad_norm': 5.635053634643555, 'learning_rate': 7.600000000000001e-06, 'epoch': 1.18}
{'loss': 1.4248, 'grad_norm': 5.494675159454346, 'learning_rate': 7.800000000000002e-06, 'epoch': 1.22}
{'loss': 1.3719, 'grad_norm': 4.441025257110596, 'learning_rate': 8.000000000000001e-06, 'epoch': 1.25}
{'loss': 1.3601, 'grad_norm': 6.073430061340332, 'learning_rate': 8.2e-06, 'epoch': 1.28}
{'loss': 1.352, 'grad_norm': 4.721701622009277, 'learning_rate': 8.400000000000001e-06, 'epoch': 1.31}
{'loss': 1.3279, 'grad_norm': 5.721141338348389, 'learning_rate': 8.6e-06, 'epoch': 1.34}
{'loss': 1.2877, 'grad_norm': 4.469810962677002, 'learning_rate': 8.8e-06, 'epoch': 1.37}
{'loss': 1.2416, 'grad_norm': 4.147808074951172, 'learning_rate': 9e-06, 'epoch': 1.4}
